Name        Locus-tag      Start     Stop      
dnaA        BSU_00010      410       1750      
dnaN        BSU_00020      1939      3075      
rlbA        BSU_00030      3206      3421      
recF        BSU_00040      3437      4549      
remB        BSU_00050      4567      4812      
gyrB        BSU_00060      4867      6783      
gyrA        BSU_00070      6994      9459      
rrnO-16S    BSU_rRNA_1     9810      11364     
trnO-Ile    BSU_tRNA_5     11464     11540     
trnO-Ala    BSU_tRNA_6     11552     11627     
rrnO-23S    BSU_rRNA_2     11709     14636     
rrnO-5S     BSU_rRNA_3     14692     14810     
yaaC        BSU_00080      14847     15794     
guaB        BSU_00090      15915     17381     
dacA        BSU_00100      17534     18865     
pdxS        BSU_00110      19062     19946     
pdxT        BSU_00120      19968     20558     
tboS        BSU_misc_RNA_1 20611     20823     
serS        BSU_00130      20880     22157     
trnSL-Ser1  BSU_tRNA_7     22292     22384     
dck         BSU_00140      22496     23149     
dgk         BSU_00150      23146     23769     
sleL        BSU_00160      23868     25151     
yaaI        BSU_00170      25221     25766     
tadA        BSU_00180      25852     26337     
scr         BSU_misc_RNA_2 26379     26732     
dnaX        BSU_00190      26814     28505     
ebfC        BSU_00200      28529     28852     
recR        BSU_00210      28867     29463     
yaaL        BSU_00220      29481     29705     
bofA        BSU_00230      29772     30035     
rrnA-16S    BSU_rRNA_4     30279     31832     
trnA-Ile    BSU_tRNA_8     31932     32008     
trnA-Ala    BSU_tRNA_9     32020     32095     
rrnA-23S    BSU_rRNA_5     32177     35103     
rrnA-5S     BSU_rRNA_26    35237     35355     
csfB        BSU_00240      35531     35725     
xpaC        BSU_00250      35845     36459     
yaaN        BSU_00260      36478     37638     
yaaO        BSU_00270      37720     39162     
tmk         BSU_00280      39159     39797     
darA        BSU_00290      39871     40200     
yaaR        BSU_00300      40213     40653     
holB        BSU_00310      40665     41654     
ricT        BSU_00320      41657     42484     
dnaH        BSU_00330      42499     42858     
trmNF       BSU_00340      42917     43660     
yazA        BSU_00350      43647     43946     
rsmI        BSU_00360      43921     44799     
abrB        BSU_00370      44848     45138     
metS        BSU_00380      45633     47627     
dayD        BSU_00390      47706     48473     
yabE        BSU_00400      48629     49942     
rnmV        BSU_00410      50087     50647     
rsmA        BSU_00420      50640     51518     
prtG        BSU_00430      51680     52552     
veg         BSU_00440      52763     53023     
sspF        BSU_00450      53183     53368     
ispE        BSU_00460      53516     54385     
purR        BSU_00470      54441     55298     
ridA        BSU_00480      55295     55672     
spoVG       BSU_00490      55866     56159     
glmU        BSU_00500      56352     57722     
prs         BSU_00510      57745     58698     
ctc         BSU_00520      58783     59397     
pth         BSU_00530      59504     60070     
fin         BSU_00540      60130     60360     
mfd         BSU_00550      60430     63963     
spoVT       BSU_00560      64099     64635     
yabM        BSU_00570      64817     66415     
yabN        BSU_00580      66405     67874     
hslR        BSU_00590      67877     68137     
spcP        BSU_00600      68216     68518     
spcQ        BSU_00610      68515     69150     
divIC       BSU_00620      69168     69545     
yabR        BSU_00630      69626     70012     
trnSL-Met1  BSU_tRNA_10    70181     70257     
trnSL-Glu1  BSU_tRNA_11    70267     70338     
spoIIE      BSU_00640      70538     73021     
yabS        BSU_00650      73106     73843     
prkT        BSU_00660      73809     74825     
tilS        BSU_00670      74929     76347     
hprT        BSU_00680      76344     76886     
ftsH        BSU_00690      76984     78897     
coaX        BSU_00700      79092     79868     
hslO        BSU_00710      79880     80755     
yacD        BSU_00720      80802     81695     
cysK        BSU_00730      81771     82697     
pabB        BSU_00740      82864     84276     
